Commodity,Date,Unit,Min Price,Max Price,Avg Price,Year,Month,DayOfWeek,Price Range
Sugarbeet,2021-01-11,Kg,80,90,85.0,2021,1,Monday,10
Red Cabbbage,2021-01-11,Kg,150,200,175.0,2021,1,Monday,50
Lettuce,2021-01-11,Kg,50,60,55.0,2021,1,Monday,10
Knolkhol,2021-01-11,Kg,60,70,65.0,2021,1,Monday,10
Celery,2021-01-11,Kg,240,250,245.0,2021,1,Monday,10
Parseley,2021-01-11,Kg,380,400,390.0,2021,1,Monday,20
Fennel Leaf,2021-01-11,Kg,90,100,95.0,2021,1,Monday,10
Mint,2021-01-11,Kg,220,250,235.0,2021,1,Monday,30
Turnip A,2021-01-11,Kg,70,80,75.0,2021,1,Monday,10
Tamarind,2021-01-11,Kg,140,150,145.0,2021,1,Monday,10
Bamboo Shoot,2021-01-11,Kg,80,90,85.0,2021,1,Monday,10
Tofu,2021-01-11,Kg,70,80,75.0,2021,1,Monday,10
Gundruk,2021-01-11,Kg,220,250,235.0,2021,1,Monday,30
Apple(Jholey),2021-01-11,Kg,190,200,195.0,2021,1,Monday,10
Apple(Fuji),2021-01-11,KG,280,300,290.0,2021,1,Monday,20
Banana,2021-01-11,Doz,90,100,95.0,2021,1,Monday,10
Lime,2021-01-11,Kg,120,130,125.0,2021,1,Monday,10
Pomegranate,2021-01-11,Kg,250,300,275.0,2021,1,Monday,50
Grapes(Green),2021-01-11,Kg,200,220,210.0,2021,1,Monday,20
Grapes(Black),2021-01-11,Kg,250,400,325.0,2021,1,Monday,150
Orange(Nepali),2021-01-11,Kg,100,110,105.0,2021,1,Monday,10
Water Melon(Green),2021-01-11,Kg,40,50,45.0,2021,1,Monday,10
Sweet Orange,2021-01-11,Kg,150,160,155.0,2021,1,Monday,10
Pineapple,2021-01-11,1 Pc,120,130,125.0,2021,1,Monday,10
Cucumber(Local),2021-01-11,Kg,70,80,75.0,2021,1,Monday,10
Cucumber(Hybrid),2021-01-11,KG,30,35,32.5,2021,1,Monday,5
Jack Fruit,2021-01-11,Kg,100,110,105.0,2021,1,Monday,10
Lemon,2021-01-11,Kg,50,60,55.0,2021,1,Monday,10
Pear(Chinese),2021-01-11,Kg,250,260,255.0,2021,1,Monday,10
Papaya(Indian),2021-01-11,Kg,90,100,95.0,2021,1,Monday,10
Guava,2021-01-11,Kg,100,110,105.0,2021,1,Monday,10
Mombin,2021-01-11,Kg,30,40,35.0,2021,1,Monday,10
Kinnow,2021-01-11,Kg,70,80,75.0,2021,1,Monday,10
Kiwi,2021-01-11,Kg,220,250,235.0,2021,1,Monday,30
Ginger,2021-01-11,Kg,60,70,65.0,2021,1,Monday,10
Chilli Dry,2021-01-11,Kg,320,330,325.0,2021,1,Monday,10
Chilli Green,2021-01-11,Kg,70,80,75.0,2021,1,Monday,10
Chilli Green(Bullet),2021-01-11,KG,60,70,65.0,2021,1,Monday,10
Chilli Green(Machhe),2021-01-11,KG,100,110,105.0,2021,1,Monday,10
Capsicum,2021-01-11,Kg,50,60,55.0,2021,1,Monday,10
Garlic Green,2021-01-11,Kg,80,90,85.0,2021,1,Monday,10
Coriander Green,2021-01-11,Kg,80,90,85.0,2021,1,Monday,10
Garlic Dry Chinese,2021-01-11,Kg,190,200,195.0,2021,1,Monday,10
Fish Fresh(Rahu),2021-01-11,KG,270,280,275.0,2021,1,Monday,10
Fish Fresh(Bachuwa),2021-01-11,KG,200,210,205.0,2021,1,Monday,10
Fish Fresh(Chhadi),2021-01-11,KG,200,210,205.0,2021,1,Monday,10
Fish Fresh(Mungari),2021-01-11,KG,260,270,265.0,2021,1,Monday,10
Tomato Big(Nepali),2021-01-12,Kg,40,50,45.0,2021,1,Tuesday,10
Tomato Big(Indian),2021-01-12,Kg,40,50,45.0,2021,1,Tuesday,10
Tomato Small(Local),2021-01-12,Kg,15,25,20.0,2021,1,Tuesday,10
Tomato Small(Tunnel),2021-01-12,Kg,15,25,20.0,2021,1,Tuesday,10
Tomato Small(Indian),2021-01-12,KG,20,30,25.0,2021,1,Tuesday,10
Tomato Small(Terai),2021-01-12,KG,20,30,25.0,2021,1,Tuesday,10
Potato Red,2021-01-12,Kg,30,35,32.5,2021,1,Tuesday,5
Potato Red(Indian),2021-01-12,KG,28,32,30.0,2021,1,Tuesday,4
Potato White,2021-01-12,Kg,28,30,29.0,2021,1,Tuesday,2
Onion Dry (Indian),2021-01-12,Kg,70,74,72.0,2021,1,Tuesday,4
Carrot(Local),2021-01-12,Kg,80,90,85.0,2021,1,Tuesday,10
Carrot(Terai),2021-01-12,Kg,50,60,55.0,2021,1,Tuesday,10
Cabbage(Local),2021-01-12,Kg,20,25,22.5,2021,1,Tuesday,5
Cabbage(Terai),2021-01-12,Kg,15,20,17.5,2021,1,Tuesday,5
Cabbage,2021-01-12,Kg,25,30,27.5,2021,1,Tuesday,5
Cauli Local,2021-01-12,Kg,20,30,25.0,2021,1,Tuesday,10
Cauli Local(Jyapu),2021-01-12,Kg,30,35,32.5,2021,1,Tuesday,5
Cauli Terai,2021-01-12,Kg,15,20,17.5,2021,1,Tuesday,5
Raddish Red,2021-01-12,Kg,30,40,35.0,2021,1,Tuesday,10
Raddish White(Hybrid),2021-01-12,Kg,15,20,17.5,2021,1,Tuesday,5
Brinjal Long,2021-01-12,Kg,35,40,37.5,2021,1,Tuesday,5
Brinjal Round,2021-01-12,Kg,35,40,37.5,2021,1,Tuesday,5
Green Peas,2021-01-12,Kg,40,50,45.0,2021,1,Tuesday,10
French Bean(Local),2021-01-12,Kg,50,60,55.0,2021,1,Tuesday,10
French Bean(Hybrid),2021-01-12,Kg,50,60,55.0,2021,1,Tuesday,10
Sword Bean,2021-01-12,Kg,35,40,37.5,2021,1,Tuesday,5
Bitter Gourd,2021-01-12,Kg,100,110,105.0,2021,1,Tuesday,10
Bottle Gourd,2021-01-12,Kg,35,40,37.5,2021,1,Tuesday,5
Pumpkin,2021-01-12,Kg,25,30,27.5,2021,1,Tuesday,5
Squash(Long),2021-01-12,Kg,25,30,27.5,2021,1,Tuesday,5
Squash(Round),2021-01-12,Kg,35,40,37.5,2021,1,Tuesday,5
Turnip,2021-01-12,Kg,70,80,75.0,2021,1,Tuesday,10
Okara,2021-01-12,Kg,70,80,75.0,2021,1,Tuesday,10
Sweet Potato,2021-01-12,Kg,50,60,55.0,2021,1,Tuesday,10
Barela,2021-01-12,Kg,40,50,45.0,2021,1,Tuesday,10
Arum,2021-01-12,Kg,40,50,45.0,2021,1,Tuesday,10
Christophine,2021-01-12,Kg,15,20,17.5,2021,1,Tuesday,5
Brd Leaf Mustard,2021-01-12,Kg,30,40,35.0,2021,1,Tuesday,10
Spinach Leaf,2021-01-12,Kg,60,70,65.0,2021,1,Tuesday,10
Cress Leaf,2021-01-12,Kg,80,90,85.0,2021,1,Tuesday,10
Mustard Leaf,2021-01-12,Kg,50,60,55.0,2021,1,Tuesday,10
Fenugreek Leaf,2021-01-12,Kg,70,80,75.0,2021,1,Tuesday,10
Onion Green,2021-01-12,Kg,50,60,55.0,2021,1,Tuesday,10
Bakula,2021-01-12,Kg,90,100,95.0,2021,1,Tuesday,10
Mushroom(Kanya),2021-01-12,Kg,90,100,95.0,2021,1,Tuesday,10
Mushroom(Button),2021-01-12,KG,250,280,265.0,2021,1,Tuesday,30
Brocauli,2021-01-12,Kg,30,40,35.0,2021,1,Tuesday,10
Sugarbeet,2021-01-12,Kg,60,70,65.0,2021,1,Tuesday,10
Drumstick,2021-01-12,Kg,110,120,115.0,2021,1,Tuesday,10
Red Cabbbage,2021-01-12,Kg,150,200,175.0,2021,1,Tuesday,50
Lettuce,2021-01-12,Kg,50,60,55.0,2021,1,Tuesday,10
